epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7994,2.29567,3.60985,2.14843,0.00429,0.1674,0.03028,0.0175,1.79298,3.74611,2.25355,7.145e-05,7.145e-05,7.145e-05
2,90.2302,2.21121,3.42114,1.9784,0.0075,0.32578,0.02799,0.01135,2.09753,3.6798,2.34949,0.000149409,0.000149409,0.000149409
3,121.836,2.26317,2.9819,1.81447,0.01057,0.49042,0.0941,0.05003,2.13736,3.48228,2.20516,0.00021888,0.00021888,0.00021888
4,162.983,2.2758,2.73085,1.78916,0.01284,0.56027,0.09813,0.05186,2.06943,3.39482,2.08792,0.000279863,0.000279863,0.000279863
5,198.997,2.17995,2.45511,1.72621,0.0132,0.59957,0.15055,0.06567,2.0545,3.29667,2.00455,0.000332357,0.000332357,0.000332357
6,233.665,2.21421,2.31536,1.73592,0.49649,0.13989,0.19799,0.0929,2.21637,3.121,2.08825,0.000376363,0.000376363,0.000376363
7,265.205,2.13505,2.15572,1.75161,0.43645,0.08652,0.1337,0.05196,2.41983,3.10599,2.17154,0.000411881,0.000411881,0.000411881
8,298.605,2.08746,1.99727,1.70107,0.17455,0.14845,0.12867,0.03889,2.62045,3.12428,2.40426,0.00043891,0.00043891,0.00043891
9,333.711,2.01551,1.94096,1.68401,0.24687,0.14397,0.11406,0.03832,2.67183,3.11711,2.5425,0.000457451,0.000457451,0.000457451
10,367.421,2.07742,1.85967,1.63635,0.22708,0.15757,0.1158,0.04085,2.64207,3.15283,2.59646,0.000467504,0.000467504,0.000467504
11,398.9,1.97464,1.91367,1.64081,0.25718,0.15725,0.11497,0.0344,2.68523,3.30452,2.7315,0.000469069,0.000469069,0.000469069
12,429.394,1.94628,1.9014,1.66583,0.17648,0.13934,0.11319,0.03841,2.85646,3.32966,2.92024,0.000462146,0.000462146,0.000462146
13,459.465,1.87089,1.78059,1.64632,0.1966,0.15593,0.15598,0.06012,2.63351,3.24948,2.71444,0.000446734,0.000446734,0.000446734
14,490.538,1.88363,1.81957,1.63007,0.30396,0.25204,0.18245,0.07358,2.56127,3.09002,2.6115,0.000422834,0.000422834,0.000422834
15,521.828,1.83511,1.75454,1.55618,0.29294,0.23449,0.18726,0.07768,2.50806,3.05185,2.54745,0.000390446,0.000390446,0.000390446
16,552.021,1.82873,1.75146,1.54885,0.29675,0.2787,0.21,0.08205,2.51276,2.89391,2.57238,0.000349569,0.000349569,0.000349569
17,582.08,1.76953,1.68505,1.53986,0.34404,0.31768,0.23704,0.097,2.48618,2.83457,2.51433,0.000297232,0.000297232,0.000297232
18,613.291,1.72821,1.68365,1.56042,0.3869,0.35698,0.33602,0.11369,2.5026,2.76227,2.48598,0.000226497,0.000226497,0.000226497
19,643.074,1.63925,1.5618,1.4475,0.42578,0.37452,0.3593,0.1246,2.55515,2.76781,2.52537,0.000155761,0.000155761,0.000155761
20,674.819,1.61032,1.64276,1.43502,0.45767,0.36386,0.36691,0.12826,2.56216,2.67928,2.47088,8.50255e-05,8.50255e-05,8.50255e-05
